Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PTS,26.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,PTS,25.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PTS,14.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,PTS,15.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,PTS,11.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PTS,14.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,PTS,12.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,PTS,11.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,PTS,11.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,PTS,11.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,PTS,9.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,PTS,6.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,PTS,7.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,PTS,5.5,2026-06-05
Mitchell Robinson,NYK,SAS,NYK vs. SAS,PTS,3.5,2026-06-05
Luke Kornet,SAS,NYK,SAS vs. NYK,PTS,1.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PRA,41.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,PRA,34.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PRA,32.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,PRA,25.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,PRA,28.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PRA,23.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,PRA,20.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,PRA,22.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,PRA,19.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,PRA,17.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,PRA,18.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,PRA,10.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,PRA,10.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,PRA,14.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,REB,11.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,REB,10.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,REB,7.5,2026-06-05
Mitchell Robinson,NYK,SAS,NYK vs. SAS,REB,5.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,REB,5.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,REB,4.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,REB,5.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,REB,4.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,REB,4.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,REB,2.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,REB,2.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,REB,2.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,REB,2.5,2026-06-05
Luke Kornet,SAS,NYK,SAS vs. NYK,REB,1.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,REB,1.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,REB,0.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,AST,6.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,AST,5.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,AST,5.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,AST,4.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,AST,3.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,AST,2.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,AST,1.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,AST,2.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,AST,1.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,AST,1.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,AST,0.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,AST,1.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,AST,1.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,AST,1.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,RA,15.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,RA,12.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,RA,14.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,RA,11.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,RA,8.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,RA,8.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,RA,6.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,RA,7.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,RA,7.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,RA,6.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,RA,4.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,RA,4.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,RA,4.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,RA,4.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,PA,31.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PA,29.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PA,20.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PA,21.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,PA,23.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,PA,16.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,PA,17.5,2026-06-05
