Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Jaylen Brown,BOS,LAL,BOS vs. LAL,PTS,28.5,2026-02-22
Luka Dončić,LAL,BOS,LAL vs. BOS,PTS,29.5,2026-02-22
Austin Reaves,LAL,BOS,LAL vs. BOS,PTS,20.5,2026-02-22
Derrick White,BOS,LAL,BOS vs. LAL,PTS,18.0,2026-02-22
LeBron James,LAL,BOS,LAL vs. BOS,PTS,18.5,2026-02-22
Payton Pritchard,BOS,LAL,BOS vs. LAL,PTS,17.5,2026-02-22
Nikola Vučević,BOS,LAL,BOS vs. LAL,PTS,12.5,2026-02-22
Deandre Ayton,LAL,BOS,LAL vs. BOS,PTS,10.0,2026-02-22
Luke Kennard,LAL,BOS,LAL vs. BOS,PTS,6.0,2026-02-22
Rui Hachimura,LAL,BOS,LAL vs. BOS,PTS,8.5,2026-02-22
Sam Hauser,BOS,LAL,BOS vs. LAL,PTS,9.5,2026-02-22
Neemias Queta,BOS,LAL,BOS vs. LAL,PTS,7.0,2026-02-22
Marcus Smart,LAL,BOS,LAL vs. BOS,PTS,7.5,2026-02-22
Baylor Scheierman,BOS,LAL,BOS vs. LAL,PTS,6.5,2026-02-22
Anthony Edwards,MIN,PHI,MIN vs. PHI,PTS,29.5,2026-02-22
Tyrese Maxey,PHI,MIN,PHI vs. MIN,PTS,30.5,2026-02-22
Julius Randle,MIN,PHI,MIN vs. PHI,PTS,21.5,2026-02-22
Kelly Oubre,PHI,MIN,PHI vs. MIN,PTS,16.0,2026-02-22
Naz Reid,MIN,PHI,MIN vs. PHI,PTS,16.5,2026-02-22
VJ Edgecombe,PHI,MIN,PHI vs. MIN,PTS,16.5,2026-02-22
Ayo Dosunmu,MIN,PHI,MIN vs. PHI,PTS,12.5,2026-02-22
Jaden McDaniels,MIN,PHI,MIN vs. PHI,PTS,14.5,2026-02-22
Dominick Barlow,PHI,MIN,PHI vs. MIN,PTS,9.5,2026-02-22
Donte DiVincenzo,MIN,PHI,MIN vs. PHI,PTS,10.5,2026-02-22
Quentin Grimes,PHI,MIN,PHI vs. MIN,PTS,11.5,2026-02-22
Jalen Green,PHX,POR,PHX vs. POR,PTS,23.5,2026-02-22
Grayson Allen,PHX,POR,PHX vs. POR,PTS,19.5,2026-02-22
Deni Avdija,POR,PHX,POR vs. PHX,PTS,23.5,2026-02-22
Collin Gillespie,PHX,POR,PHX vs. POR,PTS,18.5,2026-02-22
Jerami Grant,POR,PHX,POR vs. PHX,PTS,17.5,2026-02-22
Jrue Holiday,POR,PHX,POR vs. PHX,PTS,16.5,2026-02-22
Donovan Clingan,POR,PHX,POR vs. PHX,PTS,11.5,2026-02-22
Mark Williams,PHX,POR,PHX vs. POR,PTS,12.5,2026-02-22
Royce O'Neale,PHX,POR,PHX vs. POR,PTS,12.5,2026-02-22
Toumani Camara,POR,PHX,POR vs. PHX,PTS,12.5,2026-02-22
Scoot Henderson,POR,PHX,POR vs. PHX,PTS,12.5,2026-02-22
Vít Krejčí,POR,PHX,POR vs. PHX,PTS,8.5,2026-02-22
