Legs,Joint Prob,Ticket EV%,Payout,Picks
2,0.7036,1.1108000000000002,3.0x,Daniss Jenkins Under 2.5 AST | Jalen Duren Under 1.5 AST
2,0.6908,1.0724,3.0x,Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST
2,0.6783,1.0349,3.0x,Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
2,0.6777,1.0331000000000001,3.0x,Cade Cunningham Under 9.5 AST | Daniss Jenkins Under 2.5 AST
2,0.6751,1.0253,3.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA
3,0.6718,3.0307999999999993,6.0x,Cade Cunningham Under 9.5 AST | Daniss Jenkins Under 2.5 AST | Jalen Duren Under 1.5 AST
2,0.6702,1.0106000000000002,3.0x,Cade Cunningham Under 9.5 AST | Jalen Duren Under 1.5 AST
2,0.6682,1.0046,3.0x,Amen Thompson Under 29.5 PRA | Kevin Durant Under 4.5 AST
2,0.6632,0.9896,3.0x,Amen Thompson Under 29.5 PRA | Kevin Durant Under 5.5 REB
2,0.6617,0.9850999999999999,3.0x,Ace Bailey Over 1.5 AST | Kyle Filipowski Over 12.5 PTS
2,0.6615,0.9844999999999999,3.0x,Cade Cunningham Under 5.5 REB | Jalen Duren Under 1.5 AST
3,0.6609,2.9654000000000003,6.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST
3,0.6559,2.9354000000000005,6.0x,Cade Cunningham Under 5.5 REB | Daniss Jenkins Under 2.5 AST | Jalen Duren Under 1.5 AST
3,0.6543,2.9257999999999997,6.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
3,0.6531,2.9186,6.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Tari Eason Under 9.5 RA
4,0.6513,5.513,10.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
3,0.651,2.906,6.0x,Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
3,0.6504,2.9024,6.0x,Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
3,0.65,2.9000000000000004,6.0x,Clint Capela Under 4.5 REB | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
3,0.6488,2.8928000000000003,6.0x,Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST
3,0.6486,2.8915999999999995,6.0x,Amen Thompson Under 29.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
4,0.6453,5.452999999999999,10.0x,Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
4,0.6452,5.452,10.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
4,0.6448,5.448,10.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST
4,0.6424,5.4239999999999995,10.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
4,0.6422,5.422,10.0x,Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
4,0.6405,5.404999999999999,10.0x,Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
5,0.6398,11.796000000000001,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
4,0.639,5.390000000000001,10.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
4,0.6387,5.3870000000000005,10.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
4,0.6384,5.3839999999999995,10.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB
5,0.6356,11.712000000000002,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
5,0.6342,11.684,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
5,0.6289,11.578,20.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
5,0.6278,11.556000000000001,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
