Legs,Joint Prob,Payout,Picks
2,0.619,3.0x,AJ Green Over 3.5 RA | Ryan Rollins Over 23.5 PR
2,0.6127,3.0x,AJ Green Over 3.5 RA | Ryan Rollins Over 18.5 PTS
2,0.5928,3.0x,Ausar Thompson Under 12.0 PA | Tobias Harris Under 15.5 PA
2,0.5866,3.0x,Ausar Thompson Under 12.0 PA | Tobias Harris Under 13.5 PTS
2,0.5833,3.0x,Harrison Barnes Under 14.5 PA | Victor Wembanyama Under 11.5 REB
3,0.5802,6.0x,AJ Green Over 3.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
2,0.5799,3.0x,AJ Green Over 3.5 RA | Myles Turner Over 6.5 RA
2,0.5776,3.0x,Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
2,0.5724,3.0x,Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS
3,0.5656,6.0x,AJ Green Over 3.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS
2,0.4905899999999999,3.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB
2,0.470682,3.0x,Collin Murray-Boyles Under 5.5 REB | Derrick White Over 9.5 RA
3,0.440109,6.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Ryan Rollins Over 23.5 PR
3,0.4356297,6.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Ryan Rollins Over 18.5 PTS
3,0.4214808,6.0x,Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Tobias Harris Under 15.5 PA
3,0.41707259999999996,6.0x,Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Tobias Harris Under 13.5 PTS
3,0.4147263,6.0x,Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Victor Wembanyama Under 11.5 REB
4,0.4125222,10.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
3,0.4123089,6.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Myles Turner Over 6.5 RA
3,0.41067359999999997,6.0x,Collin Murray-Boyles Under 5.5 REB | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
3,0.40977800000000003,6.0x,AJ Green Over 3.5 RA | Derrick White Over 9.5 RA | Ryan Rollins Over 23.5 PR
4,0.4021416,10.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS
4,0.3845,10.0x,AJ Green Over 3.5 RA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
4,0.38409240000000006,10.0x,AJ Green Over 3.5 RA | Derrick White Over 9.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
4,0.3757,10.0x,AJ Green Over 3.5 RA | James Harden Under 33.5 PRA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
4,0.3744272,10.0x,AJ Green Over 3.5 RA | Derrick White Over 9.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS
4,0.37306860000000003,10.0x,AJ Green Over 3.5 RA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR
4,0.369,10.0x,AJ Green Over 3.5 RA | James Harden Under 33.5 PRA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS
4,0.3672,10.0x,AJ Green Over 3.5 RA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS
4,0.36694319999999997,10.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA
5,0.34394256,20.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA
5,0.34034532000000006,20.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS
