Player Name,Team,Opponent,Position,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,EV%,Kelly,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
Jonas Valanciunas,DEN,GSW,C,AST,1.5,0.62,0.854,Under,62.98,0.1732,S Tier,2026-02-22,2026-02-22,2.0,LOSS,0.0,1.38,AST
Joel Embiid,PHI,MIN,C,PTS,26.5,31.3,0.777,Over,48.39,0.1331,S Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,PTS
Jaylen Brown,BOS,LAL,SF,AST,4.5,3.34,0.756,Under,44.36,0.122,S Tier,2026-02-22,2026-02-22,7.0,LOSS,0.0,3.66,AST
Tim Hardaway Jr.,DEN,GSW,SG,AST,1.5,0.99,0.746,Under,42.42,0.1167,S Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-0.99,AST
Brandon Ingram,TOR,MIL,SF,AST,3.5,2.53,0.737,Under,40.79,0.1122,S Tier,2026-02-22,2026-02-22,6.0,LOSS,0.0,3.47,AST
Jalen Johnson,ATL,BKN,SF,AST,7.5,5.57,0.731,Under,39.56,0.1088,S Tier,2026-02-22,2026-02-22,4.0,WIN,1.0,-1.5700000000000003,AST
CJ McCollum,ATL,BKN,PG,REB,3.5,2.55,0.729,Under,39.16,0.1077,S Tier,2026-02-22,2026-02-22,8.0,LOSS,0.0,5.45,REB
Tyrese Maxey,PHI,MIN,PG,AST,6.5,5.02,0.716,Under,36.72,0.101,S Tier,2026-02-22,2026-02-22,7.0,LOSS,0.0,1.9800000000000004,AST
Chet Holmgren,OKC,CLE,PF,REB,8.5,6.64,0.713,Under,36.16,0.0994,S Tier,2026-02-22,2026-02-22,15.0,LOSS,0.0,8.36,REB
Brandon Miller,CHA,WAS,SF,PRA,33.5,29.23,0.712,Under,35.85,0.0986,S Tier,2026-02-22,2026-02-22,29.0,WIN,1.0,-0.23000000000000043,PRA
Bilal Coulibaly,WSH,CHA,SG,PTS,10.5,12.76,0.705,Over,34.57,0.0951,S Tier,2026-02-22,2026-02-22,17.0,WIN,1.0,4.24,PTS
Desmond Bane,ORL,LAC,SG,PRA,25.5,29.56,0.704,Over,34.31,0.0944,S Tier,2026-02-22,2026-02-22,41.0,WIN,1.0,11.440000000000001,PRA
Jock Landale,ATL,BKN,C,AST,1.5,1.19,0.701,Under,33.75,0.0928,S Tier,2026-02-22,2026-02-22,1.0,WIN,1.0,-0.18999999999999995,AST
Dyson Daniels,ATL,BKN,SG,PRA,23.5,19.53,0.699,Under,33.38,0.0918,S Tier,2026-02-22,2026-02-22,25.0,LOSS,0.0,5.469999999999999,PRA
LaMelo Ball,CHA,WAS,PG,AST,7.5,6.35,0.695,Under,32.59,0.0896,S Tier,2026-02-22,2026-02-22,7.0,WIN,1.0,0.6500000000000004,AST
Donovan Mitchell,CLE,OKC,SG,REB,3.5,2.83,0.685,Under,30.72,0.0845,S Tier,2026-02-22,2026-02-22,7.0,LOSS,0.0,4.17,REB
Anthony Edwards,MIN,PHI,SG,AST,3.5,2.84,0.68,Under,29.91,0.0823,S Tier,2026-02-22,2026-02-22,3.0,WIN,1.0,0.16000000000000014,AST
Joan Beringer,MIN,PHI,PF,REB,5.5,2.95,0.921,Under,75.81,0.1042,A Tier,2026-02-22,2026-02-22,3.0,WIN,1.0,0.04999999999999982,REB
RJ Barrett,TOR,MIL,SF,PRA,27.5,23.23,0.769,Under,46.75,0.0643,A Tier,2026-02-22,2026-02-22,16.0,WIN,1.0,-7.23,PRA
Ayo Dosunmu,MIN,PHI,SG,REB,3.5,2.34,0.758,Under,44.74,0.0615,A Tier,2026-02-22,2026-02-22,5.0,LOSS,0.0,2.66,REB
Kyshawn George,WSH,CHA,SF,PTS,12.5,8.75,0.743,Under,41.8,0.0575,A Tier,2026-02-22,2026-02-22,13.0,LOSS,0.0,4.25,PTS
Ryan Kalkbrenner,CHA,WAS,C,REB,7.5,6.02,0.741,Under,41.41,0.0569,A Tier,2026-02-22,2026-02-22,9.0,LOSS,0.0,2.9800000000000004,REB
Payton Pritchard,BOS,LAL,PG,PRA,27.5,33.61,0.724,Over,38.14,0.0524,A Tier,2026-02-22,2026-02-22,42.0,WIN,1.0,8.39,PRA
Nikola Vucevic,BOS,LAL,C,AST,2.5,1.84,0.72,Under,37.55,0.0516,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.84,AST
Tyus Jones,DAL,IND,PG,PTS,6.5,5.48,0.718,Under,37.12,0.051,A Tier,2026-02-22,2026-02-22,2.0,WIN,1.0,-3.4800000000000004,PTS
Kawhi Leonard,LAC,ORL,SF,AST,4.5,3.49,0.716,Under,36.63,0.0504,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,AST
Aaron Wiggins,OKC,CLE,SG,PTS,14.5,11.29,0.713,Under,36.1,0.0496,A Tier,2026-02-22,2026-02-22,7.0,WIN,1.0,-4.289999999999999,PTS
Jared McCain,OKC,CLE,SG,AST,2.5,1.87,0.711,Under,35.78,0.0492,A Tier,2026-02-22,2026-02-22,1.0,WIN,1.0,-0.8700000000000001,AST
Jaylon Tyson,CLE,OKC,SG,AST,1.5,1.32,0.711,Under,35.72,0.0491,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.32,AST
Derrick White,BOS,LAL,SG,PRA,27.5,24.09,0.709,Under,35.31,0.0485,A Tier,2026-02-22,2026-02-22,25.0,WIN,1.0,0.9100000000000001,PRA
Cam Thomas,MIL,TOR,SG,AST,2.5,2.05,0.698,Under,33.34,0.0458,A Tier,2026-02-22,2026-02-22,1.0,WIN,1.0,-1.0499999999999998,AST
Egor Demin,BKN,ATL,None,AST,3.5,2.92,0.665,Under,27.03,0.0743,A Tier,2026-02-22,2026-02-22,4.0,LOSS,0.0,1.08,AST
Bub Carrington,WSH,CHA,PG,PRA,17.5,15.96,0.661,Under,26.16,0.0719,A Tier,2026-02-22,2026-02-22,11.0,WIN,1.0,-4.960000000000001,PRA
Nic Claxton,BKN,ATL,C,PTS,10.5,12.2,0.66,Over,26.06,0.0717,A Tier,2026-02-22,2026-02-22,15.0,WIN,1.0,2.8000000000000007,PTS
Kris Dunn,LAC,ORL,PG,REB,4.5,3.86,0.654,Under,24.81,0.0682,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,REB
Bennedict Mathurin,LAC,ORL,SF,AST,2.5,3.35,0.65,Over,24.02,0.0661,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,AST
Dennis Schroder,CLE,OKC,PG,AST,3.5,2.99,0.649,Under,23.85,0.0656,A Tier,2026-02-22,2026-02-22,7.0,LOSS,0.0,4.01,AST
Anthony Black,ORL,LAC,PG,PTS,15.5,13.15,0.648,Under,23.76,0.0653,A Tier,2026-02-22,2026-02-22,10.0,WIN,1.0,-3.1500000000000004,PTS
Kon Knueppel,CHA,WAS,SF,PTS,20.5,23.18,0.648,Over,23.61,0.0649,A Tier,2026-02-22,2026-02-22,28.0,WIN,1.0,4.82,PTS
LeBron James,LAL,BOS,SF,REB,5.5,4.85,0.64,Under,22.25,0.0612,A Tier,2026-02-22,2026-02-22,4.0,WIN,1.0,-0.8499999999999996,REB
Nolan Traore,BKN,ATL,PG,AST,4.5,6.02,0.64,Over,22.19,0.061,A Tier,2026-02-22,2026-02-22,5.0,WIN,1.0,-1.0199999999999996,AST
VJ Edgecombe,PHI,MIN,SG,AST,3.5,3.13,0.637,Under,21.61,0.0594,A Tier,2026-02-22,2026-02-22,3.0,WIN,1.0,-0.1299999999999999,AST
Luka Doncic,LAL,BOS,PG,AST,7.5,6.76,0.631,Under,20.42,0.0562,A Tier,2026-02-22,2026-02-22,3.0,WIN,1.0,-3.76,AST
Onyeka Okongwu,ATL,BKN,C,PTS,14.5,16.52,0.629,Over,20.13,0.0554,A Tier,2026-02-22,2026-02-22,13.0,LOSS,0.0,-3.5199999999999996,PTS
Jarrett Allen,CLE,OKC,C,PRA,25.5,30.01,0.626,Over,19.57,0.0538,A Tier,2026-02-22,2026-02-22,26.0,WIN,1.0,-4.010000000000002,PRA
Wendell Carter Jr.,ORL,LAC,C,PTS,9.5,7.6,0.624,Under,19.13,0.0526,A Tier,2026-02-22,2026-02-22,7.0,WIN,1.0,-0.5999999999999996,PTS
Sam Merrill,CLE,OKC,SG,AST,1.5,1.41,0.623,Under,19.03,0.0523,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.41,AST
Kristaps Porzingis,GS,DEN,C,AST,1.5,1.31,0.68,Under,29.76,0.0409,B Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,AST
Neemias Queta,BOS,LAL,C,AST,1.5,1.32,0.678,Under,29.44,0.0405,B Tier,2026-02-22,2026-02-22,1.0,WIN,1.0,-0.32000000000000006,AST
