Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
Kel'el Ware,MIA,BKN,AST,1.5,0.39,0.941,Under,0.0,60.0,S Tier,2026-03-05,2026-03-05,1.0,WIN,1.0,0.61,AST
Caris LeVert,DET,SAS,PA,4.5,2.41,0.855,Under,0.403,90.0,S Tier,2026-03-05,2026-03-05,3.0,WIN,1.0,0.5899999999999999,PA
Keldon Johnson,SA,DET,AST,0.5,0.52,0.852,Under,0.0,70.0,S Tier,2026-03-05,2026-03-05,1.0,LOSS,0.0,0.48,AST
Paolo Banchero,ORL,DAL,PRA,38.5,49.06,0.851,Over,0.268,60.0,S Tier,2026-03-05,2026-03-05,34.0,LOSS,0.0,-15.060000000000002,PRA
Maxime Raynaud,SAC,NOP,PRA,27.5,35.43,0.819,Over,0.303,90.0,S Tier,2026-03-05,2026-03-05,16.0,LOSS,0.0,-19.43,PRA
Tre Johnson,WSH,UTA,PA,14.5,9.48,0.811,Under,0.239,80.0,S Tier,2026-03-05,2026-03-05,17.0,LOSS,0.0,7.52,PA
P.J. Washington,DAL,ORL,AST,3.5,2.06,0.805,Under,0.369,70.0,S Tier,2026-03-05,2026-03-05,1.0,WIN,1.0,-1.06,AST
Royce O'Neale,PHX,CHI,PR,15.5,10.71,0.785,Under,0.384,60.0,S Tier,2026-03-05,2026-03-05,7.0,WIN,1.0,-3.710000000000001,PR
Brandin Podziemski,GS,HOU,PRA,26.5,34.52,0.783,Over,0.413,90.0,S Tier,2026-03-05,2026-03-05,36.0,WIN,1.0,1.4799999999999969,PRA
Brandin Podziemski,GS,HOU,PA,20.5,26.3,0.781,Over,0.397,80.0,S Tier,2026-03-05,2026-03-05,27.0,WIN,1.0,0.6999999999999993,PA
Donte DiVincenzo,MIN,TOR,PR,16.5,11.68,0.78,Under,0.408,60.0,S Tier,2026-03-05,2026-03-05,21.0,LOSS,0.0,9.32,PR
Bilal Coulibaly,WSH,UTA,PR,16.5,11.73,0.78,Under,0.252,70.0,S Tier,2026-03-05,2026-03-05,20.0,LOSS,0.0,8.27,PR
Tobias Harris,DET,SAS,PR,18.5,24.23,0.773,Over,0.279,60.0,S Tier,2026-03-05,2026-03-05,15.0,LOSS,0.0,-9.23,PR
Luke Kornet,SA,DET,PRA,10.5,7.14,0.764,Under,0.394,80.0,S Tier,2026-03-05,2026-03-05,3.0,WIN,1.0,-4.14,PRA
Brandon Williams,DAL,ORL,PA,15.5,20.41,0.759,Over,0.285,90.0,S Tier,2026-03-05,2026-03-05,,Pending / Not Found,,,PA
Collin Gillespie,PHX,CHI,PA,19.5,24.58,0.754,Over,0.379,70.0,S Tier,2026-03-05,2026-03-05,10.0,LOSS,0.0,-14.579999999999998,PA
Brandon Williams,DAL,ORL,PR,15.5,20.55,0.748,Over,0.256,90.0,S Tier,2026-03-05,2026-03-05,,Pending / Not Found,,,PR
Grayson Allen,PHX,CHI,RA,7.5,9.82,0.748,Over,0.219,80.0,S Tier,2026-03-05,2026-03-05,10.0,WIN,1.0,0.17999999999999972,RA
Bub Carrington,WSH,UTA,AST,4.0,6.3,0.747,Over,0.313,60.0,S Tier,2026-03-05,2026-03-05,2.0,LOSS,0.0,-4.3,AST
Reed Sheppard,HOU,GSW,PTS,13.5,17.83,0.737,Over,0.304,100.0,S Tier,2026-03-05,2026-03-05,30.0,WIN,1.0,12.170000000000002,PTS
Maxime Raynaud,SAC,NOP,RA,11.5,14.92,0.733,Over,0.405,70.0,S Tier,2026-03-05,2026-03-05,6.0,LOSS,0.0,-8.92,RA
Christian Braun,DEN,LAL,REB,5.0,7.33,0.733,Over,0.312,60.0,S Tier,2026-03-05,2026-03-05,5.0,PUSH,0.0,-2.33,REB
Bilal Coulibaly,WSH,UTA,PRA,18.5,14.65,0.733,Under,0.207,60.0,S Tier,2026-03-05,2026-03-05,22.0,LOSS,0.0,7.35,PRA
Maxime Raynaud,SAC,NOP,PR,26.5,31.72,0.728,Over,0.293,90.0,S Tier,2026-03-05,2026-03-05,15.0,LOSS,0.0,-16.72,PR
Tobias Harris,DET,SAS,PA,15.5,19.99,0.728,Over,0.368,60.0,S Tier,2026-03-05,2026-03-05,12.0,LOSS,0.0,-7.989999999999998,PA
Austin Reaves,LAL,DEN,PTS,19.5,16.34,0.718,Under,0.288,90.0,S Tier,2026-03-05,2026-03-05,16.0,WIN,1.0,-0.33999999999999986,PTS
Tre Jones,CHI,PHX,PTS,12.5,16.53,0.717,Over,0.383,70.0,S Tier,2026-03-05,2026-03-05,21.0,WIN,1.0,4.469999999999999,PTS
Tobias Harris,DET,SAS,PRA,20.5,25.19,0.71,Over,0.244,60.0,S Tier,2026-03-05,2026-03-05,16.0,LOSS,0.0,-9.190000000000001,PRA
Donte DiVincenzo,MIN,TOR,PRA,20.5,17.08,0.708,Under,0.322,60.0,S Tier,2026-03-05,2026-03-05,23.0,LOSS,0.0,5.920000000000002,PRA
Royce O'Neale,PHX,CHI,PRA,18.5,15.28,0.706,Under,0.349,60.0,S Tier,2026-03-05,2026-03-05,7.0,WIN,1.0,-8.28,PRA
Austin Reaves,LAL,DEN,PA,23.5,20.39,0.701,Under,0.217,90.0,S Tier,2026-03-05,2026-03-05,23.0,WIN,1.0,2.6099999999999994,PA
Rudy Gobert,MIN,TOR,RA,12.5,15.31,0.691,Over,0.366,70.0,S Tier,2026-03-05,2026-03-05,17.0,WIN,1.0,1.6899999999999995,RA
Naz Reid,MIN,TOR,RA,8.5,7.18,0.689,Under,0.29,60.0,S Tier,2026-03-05,2026-03-05,7.0,WIN,1.0,-0.17999999999999972,RA
Tobias Harris,DET,SAS,REB,5.0,6.95,0.687,Over,0.361,70.0,S Tier,2026-03-05,2026-03-05,4.0,LOSS,0.0,-2.95,REB
Desmond Bane,ORL,DAL,PA,25.5,28.93,0.68,Over,0.209,70.0,S Tier,2026-03-05,2026-03-05,17.0,LOSS,0.0,-11.93,PA
Draymond Green,GS,HOU,AST,5.0,6.87,0.677,Over,0.391,60.0,S Tier,2026-03-05,2026-03-05,8.0,WIN,1.0,1.13,AST
Collin Gillespie,PHX,CHI,PRA,24.5,28.48,0.675,Over,0.305,60.0,S Tier,2026-03-05,2026-03-05,12.0,LOSS,0.0,-16.48,PRA
Nique Clifford,SAC,NOP,RA,9.0,11.55,0.674,Over,0.408,80.0,S Tier,2026-03-05,2026-03-05,8.0,LOSS,0.0,-3.5500000000000007,RA
Grayson Allen,PHX,CHI,PRA,25.5,29.34,0.673,Over,0.191,90.0,S Tier,2026-03-05,2026-03-05,31.0,WIN,1.0,1.6600000000000001,PRA
Andrew Wiggins,MIA,BKN,REB,5.0,6.76,0.662,Over,0.359,80.0,S Tier,2026-03-05,2026-03-05,4.0,LOSS,0.0,-2.76,REB
Grayson Allen,PHX,CHI,AST,3.5,4.55,0.659,Over,0.412,80.0,S Tier,2026-03-05,2026-03-05,8.0,WIN,1.0,3.45,AST
Austin Reaves,LAL,DEN,PR,23.5,21.13,0.659,Under,0.288,90.0,S Tier,2026-03-05,2026-03-05,21.0,WIN,1.0,-0.129999999999999,PR
Austin Reaves,LAL,DEN,PRA,27.5,24.89,0.659,Under,0.229,90.0,S Tier,2026-03-05,2026-03-05,28.0,LOSS,0.0,3.1099999999999994,PRA
Austin Reaves,LAL,DEN,RA,8.0,6.53,0.656,Under,0.357,80.0,S Tier,2026-03-05,2026-03-05,12.0,LOSS,0.0,5.47,RA
Brandon Williams,DAL,ORL,PRA,19.5,23.03,0.653,Over,0.269,90.0,S Tier,2026-03-05,2026-03-05,,Pending / Not Found,,,PRA
Jalen Suggs,ORL,DAL,PRA,22.5,20.14,0.651,Under,0.413,60.0,S Tier,2026-03-05,2026-03-05,26.0,LOSS,0.0,5.859999999999999,PRA
Zion Williamson,NO,SAC,PRA,32.5,29.79,0.651,Under,0.261,70.0,S Tier,2026-03-05,2026-03-05,37.0,LOSS,0.0,7.210000000000001,PRA
Paolo Banchero,ORL,DAL,PR,33.5,43.79,0.878,Over,0.271,50.0,A Tier,2026-03-05,2026-03-05,28.0,LOSS,0.0,-15.79,PR
Rudy Gobert,MIN,TOR,PR,22.0,18.08,0.706,Under,0.303,50.0,A Tier,2026-03-05,2026-03-05,30.0,LOSS,0.0,11.920000000000002,PR
Immanuel Quickley,TOR,MIN,PR,21.5,18.28,0.702,Under,0.29,50.0,A Tier,2026-03-05,2026-03-05,21.0,WIN,1.0,2.719999999999999,PR
Duncan Robinson,DET,SAS,PR,13.5,11.13,0.692,Under,0.393,50.0,A Tier,2026-03-05,2026-03-05,14.0,LOSS,0.0,2.869999999999999,PR
Christian Braun,DEN,LAL,RA,7.5,9.26,0.681,Over,0.397,50.0,A Tier,2026-03-05,2026-03-05,9.0,WIN,1.0,-0.2599999999999998,RA
Anthony Edwards,MIN,TOR,PRA,37.5,44.74,0.676,Over,0.406,50.0,A Tier,2026-03-05,2026-03-05,29.0,LOSS,0.0,-15.740000000000002,PRA
Royce O'Neale,PHX,CHI,PA,12.5,10.6,0.676,Under,0.389,50.0,A Tier,2026-03-05,2026-03-05,3.0,WIN,1.0,-7.6,PA
Duncan Robinson,DET,SAS,PRA,15.5,13.64,0.655,Under,0.385,50.0,A Tier,2026-03-05,2026-03-05,15.0,WIN,1.0,1.3599999999999994,PRA
Nolan Traore,BKN,MIA,PR,13.5,16.77,0.646,Over,0.267,90.0,A Tier,2026-03-05,2026-03-05,12.0,LOSS,0.0,-4.77,PR
Rudy Gobert,MIN,TOR,REB,11.0,13.37,0.642,Over,0.352,70.0,A Tier,2026-03-05,2026-03-05,12.0,WIN,1.0,-1.3699999999999992,REB
Cade Cunningham,DET,SAS,RA,15.5,18.54,0.642,Over,0.415,70.0,A Tier,2026-03-05,2026-03-05,12.0,LOSS,0.0,-6.539999999999999,RA
Anthony Black,ORL,DAL,AST,3.5,3.04,0.642,Under,0.344,60.0,A Tier,2026-03-05,2026-03-05,3.0,WIN,1.0,-0.040000000000000036,AST
P.J. Washington,DAL,ORL,PRA,19.5,22.84,0.64,Over,0.291,50.0,A Tier,2026-03-05,2026-03-05,24.0,WIN,1.0,1.1600000000000001,PRA
Kel'el Ware,MIA,BKN,PR,22.5,25.95,0.633,Over,0.337,70.0,A Tier,2026-03-05,2026-03-05,27.0,WIN,1.0,1.0500000000000007,PR
Grayson Allen,PHX,CHI,PA,21.5,24.14,0.63,Over,0.234,90.0,A Tier,2026-03-05,2026-03-05,29.0,WIN,1.0,4.859999999999999,PA
Kel'el Ware,MIA,BKN,PRA,23.5,26.94,0.627,Over,0.343,70.0,A Tier,2026-03-05,2026-03-05,28.0,WIN,1.0,1.0599999999999987,PRA
Nolan Traore,BKN,MIA,REB,1.5,2.75,0.625,Over,0.394,60.0,A Tier,2026-03-05,2026-03-05,3.0,WIN,1.0,0.25,REB
Immanuel Quickley,TOR,MIN,PA,23.5,21.73,0.624,Under,0.341,50.0,A Tier,2026-03-05,2026-03-05,25.0,LOSS,0.0,3.2699999999999996,PA
Grayson Allen,PHX,CHI,PTS,17.5,19.83,0.616,Over,0.245,90.0,A Tier,2026-03-05,2026-03-05,21.0,WIN,1.0,1.1700000000000017,PTS
Sandro Mamukelashvili,TOR,MIN,REB,2.5,3.59,0.616,Over,0.284,60.0,A Tier,2026-03-05,2026-03-05,2.0,LOSS,0.0,-1.5899999999999999,REB
Luke Kornet,SA,DET,RA,4.5,4.21,0.616,Under,0.394,70.0,A Tier,2026-03-05,2026-03-05,1.0,WIN,1.0,-3.21,RA
Bam Adebayo,MIA,BKN,PA,23.5,25.84,0.616,Over,0.208,60.0,A Tier,2026-03-05,2026-03-05,23.0,LOSS,0.0,-2.84,PA
Tyler Herro,MIA,BKN,PRA,29.5,27.91,0.612,Under,0.163,90.0,A Tier,2026-03-05,2026-03-05,34.0,LOSS,0.0,6.09,PRA
Julius Randle,MIN,TOR,REB,6.5,7.57,0.612,Over,0.403,70.0,A Tier,2026-03-05,2026-03-05,8.0,WIN,1.0,0.4299999999999997,REB
Desmond Bane,ORL,DAL,PRA,29.5,32.05,0.611,Over,0.204,50.0,A Tier,2026-03-05,2026-03-05,25.0,LOSS,0.0,-7.049999999999997,PRA
Pelle Larsson,MIA,BKN,AST,3.5,4.26,0.609,Over,0.354,90.0,A Tier,2026-03-05,2026-03-05,4.0,WIN,1.0,-0.2599999999999998,AST
Bub Carrington,WSH,UTA,PRA,18.5,21.21,0.609,Over,0.181,60.0,A Tier,2026-03-05,2026-03-05,10.0,LOSS,0.0,-11.21,PRA
Bub Carrington,WSH,UTA,PA,14.5,16.92,0.609,Over,0.275,50.0,A Tier,2026-03-05,2026-03-05,9.0,LOSS,0.0,-7.920000000000002,PA
