Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Mapped_Prop
Keldon Johnson,SA,LAC,AST,0.5,0.58,0.708,Under,0.0,70.0,S Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Jayson Tatum,BOS,DAL,RA,7.0,10.92,0.791,Over,0.178,70.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Jarred Vanderbilt,LAL,IND,AST,0.5,0.51,0.71,Under,0.0,70.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Mitchell Robinson,NY,DEN,AST,0.5,0.58,0.691,Under,0.0,70.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Scoot Henderson,POR,HOU,PA,18.5,15.94,0.675,Under,0.243,60.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Austin Reaves,LAL,IND,PTS,24.5,21.39,0.666,Under,0.288,90.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Baylor Scheierman,BOS,DAL,PA,8.5,10.5,0.664,Over,0.257,100.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Austin Reaves,LAL,IND,PA,29.5,26.07,0.659,Under,0.217,90.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Scoot Henderson,POR,HOU,PRA,20.5,18.11,0.657,Under,0.267,60.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Austin Reaves,LAL,IND,PRA,35.5,31.59,0.654,Under,0.229,90.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Dylan Harper,SA,LAC,PA,15.5,18.65,0.646,Over,0.267,80.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Baylor Scheierman,BOS,DAL,PTS,6.5,8.09,0.642,Over,0.2,100.0,A Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Jayson Tatum,BOS,DAL,AST,1.5,4.29,0.891,Over,0.296,70.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Jayson Tatum,BOS,DAL,PRA,18.5,24.0,0.7,Over,0.171,40.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Sam Hauser,BOS,DAL,PR,13.5,11.34,0.688,Under,0.344,40.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Scoot Henderson,POR,HOU,PR,16.5,14.23,0.674,Under,0.338,70.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Christian Braun,DEN,NYK,REB,4.5,6.0,0.674,Over,0.312,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Scoot Henderson,POR,HOU,PTS,13.5,11.63,0.67,Under,0.326,70.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Aaron Gordon,DEN,NYK,REB,3.5,4.81,0.665,Over,0.297,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Luke Kennard,LAL,IND,PTS,14.5,12.64,0.664,Under,0.312,20.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Aaron Gordon,DEN,NYK,PRA,14.5,17.71,0.663,Over,0.144,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Derrick White,BOS,DAL,PTS,16.5,20.25,0.644,Over,0.343,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Austin Reaves,LAL,IND,PR,28.5,25.8,0.64,Under,0.288,90.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Brandon Williams,DAL,BOS,PTS,11.5,13.71,0.634,Over,0.251,90.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Kon Knueppel,CHA,MIA,RA,8.5,7.65,0.633,Under,0.326,50.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Ben Sheppard,IND,LAL,PRA,10.5,9.55,0.629,Under,0.274,10.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Derrick White,BOS,DAL,PR,20.5,24.31,0.628,Over,0.341,40.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Jay Huff,IND,LAL,PRA,14.5,17.38,0.628,Over,0.322,90.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Bennedict Mathurin,LAC,SAS,REB,5.5,6.71,0.625,Over,0.285,50.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Naz Reid,MIN,ORL,REB,4.5,5.63,0.625,Over,0.297,50.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,REB
Karl-Anthony Towns,NY,DEN,PR,29.5,27.34,0.621,Under,0.33,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Rudy Gobert,MIN,ORL,PR,22.5,20.87,0.619,Under,0.303,50.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PR
Royce O'Neale,PHX,NOP,PRA,16.5,15.29,0.617,Under,0.349,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Toumani Camara,POR,HOU,PRA,20.5,19.1,0.614,Under,0.316,40.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
LaMelo Ball,CHA,MIA,PRA,33.0,30.45,0.612,Under,0.279,90.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Brandon Miller,CHA,MIA,PA,24.5,22.94,0.611,Under,0.209,40.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Devin Vassell,SA,LAC,PR,16.5,20.03,0.611,Over,0.345,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Brandon Williams,DAL,BOS,PR,14.5,16.87,0.61,Over,0.256,90.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
T.J. McConnell,IND,LAL,PRA,13.5,12.6,0.609,Under,0.271,70.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Donte DiVincenzo,MIN,ORL,PRA,18.5,17.33,0.609,Under,0.322,60.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PRA
LaMelo Ball,CHA,MIA,RA,12.5,11.67,0.608,Under,0.214,70.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Devin Vassell,SA,LAC,PRA,19.5,23.19,0.607,Over,0.296,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Brandon Miller,CHA,MIA,PTS,14.5,17.23,0.607,Over,0.255,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
LaMelo Ball,CHA,MIA,PA,27.5,25.93,0.606,Under,0.296,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Paolo Banchero,ORL,MIN,PA,27.5,31.96,0.605,Over,0.315,50.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PA
Rudy Gobert,MIN,ORL,PRA,23.5,22.18,0.604,Under,0.28,40.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PRA
Paolo Banchero,ORL,MIN,PTS,22.5,26.28,0.601,Over,0.347,40.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PTS
LaMelo Ball,CHA,MIA,AST,7.5,7.01,0.599,Under,0.235,70.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
T.J. McConnell,IND,LAL,PTS,7.5,7.03,0.599,Under,0.291,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Paolo Banchero,ORL,MIN,PR,30.5,35.18,0.596,Over,0.271,50.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PR
Davion Mitchell,MIA,CHA,PA,14.5,13.8,0.593,Under,0.298,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Derrick White,BOS,DAL,PA,22.5,25.79,0.591,Over,0.229,60.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Anthony Black,ORL,MIN,RA,6.5,6.14,0.59,Under,0.287,40.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,RA
Donte DiVincenzo,MIN,ORL,RA,6.5,7.53,0.586,Over,0.324,50.0,B Tier,2026-03-07,2026-03-07,None,Pending / Not Found,RA
Davion Mitchell,MIA,CHA,PRA,16.5,15.86,0.586,Under,0.288,50.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Dylan Harper,SA,LAC,PRA,19.5,22.22,0.585,Over,0.249,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Josh Hart,NY,DEN,PA,16.5,15.87,0.585,Under,0.296,80.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Kris Dunn,LAC,SAS,AST,4.5,5.3,0.583,Over,0.277,90.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Kris Dunn,LAC,SAS,PA,12.5,12.08,0.582,Under,0.311,20.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Brandon Miller,CHA,MIA,PRA,30.0,28.63,0.581,Under,0.236,50.0,B Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Herbert Jones,NO,PHX,PTS,8.5,6.15,0.742,Under,0.674,80.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Sam Hauser,BOS,DAL,PTS,9.5,7.17,0.727,Under,0.527,50.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Dorian Finney-Smith,HOU,POR,AST,2.5,1.81,0.723,Under,0.789,80.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Derik Queen,NO,PHX,PTS,8.5,6.66,0.713,Under,0.622,60.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Aaron Nesmith,IND,LAL,PR,13.5,10.66,0.71,Under,0.4,40.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Andrew Nembhard,IND,LAL,PTS,14.5,11.6,0.705,Under,0.407,40.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Jordan Miller,LAC,SAS,PTS,9.5,7.56,0.704,Under,0.59,30.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Pelle Larsson,MIA,CHA,PRA,18.5,14.93,0.703,Under,0.424,20.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Cameron Johnson,DEN,NYK,PR,13.5,11.03,0.7,Under,0.367,90.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Andrew Nembhard,IND,LAL,PA,21.5,17.54,0.698,Under,0.4,40.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Luke Kornet,SA,LAC,PTS,4.5,3.61,0.692,Under,0.506,90.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Anthony Black,ORL,MIN,PA,17.5,14.63,0.692,Under,0.426,50.0,C Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PA
Bruce Brown,DEN,NYK,PTS,7.5,6.19,0.692,Under,0.786,60.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Naz Reid,MIN,ORL,PR,17.5,14.69,0.691,Under,0.367,80.0,C Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PR
Keldon Johnson,SA,LAC,RA,8.5,7.1,0.69,Under,0.603,80.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Max Christie,DAL,BOS,AST,1.5,1.31,0.689,Under,0.692,40.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Aaron Nesmith,IND,LAL,PRA,15.0,12.1,0.686,Under,0.396,40.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Jake LaRavia,LAL,IND,PTS,8.5,7.03,0.685,Under,0.625,50.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Victor Wembanyama,SA,LAC,PTS,23.5,19.99,0.685,Under,0.358,70.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Victor Wembanyama,SA,LAC,PR,35.5,30.3,0.685,Under,0.388,60.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Mitchell Robinson,NY,DEN,PTS,4.5,3.88,0.684,Under,0.686,50.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Cameron Johnson,DEN,NYK,PRA,15.5,13.18,0.681,Under,0.359,80.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Dylan Harper,SA,LAC,PTS,11.5,14.73,0.676,Over,0.363,70.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Neemias Queta,BOS,DAL,RA,8.5,7.29,0.675,Under,0.814,60.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Andrew Nembhard,IND,LAL,PRA,23.5,20.09,0.674,Under,0.394,40.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Naz Reid,MIN,ORL,PRA,19.5,16.85,0.673,Under,0.37,80.0,C Tier,2026-03-07,2026-03-07,None,Pending / Not Found,PRA
Derik Queen,NO,PHX,PRA,17.5,15.01,0.673,Under,0.39,70.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Victor Wembanyama,SA,LAC,PA,26.5,22.99,0.672,Under,0.354,70.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Devin Booker,PHX,NOP,AST,5.5,4.62,0.671,Under,0.635,90.0,C Tier,2026-03-06,2026-03-06,None,Pending / Not Found,AST
