Legs,Joint Prob,Payout,Picks,Result
2,0.661122,3.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
2,0.644193,3.0x,Dorian Finney-Smith Under 2.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
2,0.6352829999999999,3.0x,Derik Queen Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
2,0.63261,3.0x,Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
2,0.63261,3.0x,Aaron Nesmith Under 13.5 PR | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
2,0.6308279999999999,3.0x,Jayson Tatum Over 1.5 AST | Keldon Johnson Under 0.5 AST,PUSH/DOWNGRADE
2,0.628155,3.0x,Andrew Nembhard Under 14.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
2,0.6272639999999999,3.0x,Jayson Tatum Over 1.5 AST | Jordan Miller Under 9.5 PTS,PUSH/DOWNGRADE
2,0.626373,3.0x,Jayson Tatum Over 1.5 AST | Pelle Larsson Under 18.5 PRA,PUSH/DOWNGRADE
2,0.6236999999999999,3.0x,Cameron Johnson Under 13.5 PR | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
3,0.477991206,6.0x,Dorian Finney-Smith Under 2.5 AST | Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
3,0.4754736,6.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Sam Hauser Under 9.5 PTS,PUSH/DOWNGRADE
3,0.46939662,6.0x,Herbert Jones Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
3,0.46939662,6.0x,Aaron Nesmith Under 13.5 PR | Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
3,0.4680743759999999,6.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Keldon Johnson Under 0.5 AST,PUSH/DOWNGRADE
3,0.46609101,6.0x,Andrew Nembhard Under 14.5 PTS | Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
3,0.4654298879999999,6.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Jordan Miller Under 9.5 PTS,PUSH/DOWNGRADE
3,0.4647687659999999,6.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Pelle Larsson Under 18.5 PRA,PUSH/DOWNGRADE
3,0.4647456,6.0x,Aaron Nesmith Under 13.5 PR | Jake LaRavia Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
3,0.4644783,6.0x,Jayson Tatum Over 1.5 AST | Keldon Johnson Under 0.5 AST | Luke Kornet Under 4.5 PTS,PUSH/DOWNGRADE
4,0.3448412352,10.0x,Aaron Nesmith Under 13.5 PR | Herbert Jones Under 8.5 PTS | Jake LaRavia Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
4,0.3446428985999999,10.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Keldon Johnson Under 0.5 AST | Luke Kornet Under 4.5 PTS,PUSH/DOWNGRADE
4,0.3437674128,10.0x,Dorian Finney-Smith Under 2.5 AST | Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Sam Hauser Under 9.5 PTS,PUSH/DOWNGRADE
4,0.3435696,10.0x,Aaron Nesmith Under 13.5 PR | Jake LaRavia Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
4,0.342791757,10.0x,Herbert Jones Under 8.5 PTS | Jake LaRavia Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
4,0.3402133812,10.0x,Aaron Nesmith Under 13.5 PR | Herbert Jones Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
4,0.3394861469999999,10.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Keldon Johnson Under 0.5 AST | Victor Wembanyama Under 23.5 PTS,PUSH/DOWNGRADE
4,0.33937375626,10.0x,Dorian Finney-Smith Under 2.5 AST | Herbert Jones Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
4,0.3393737562599999,10.0x,Aaron Nesmith Under 13.5 PR | Dorian Finney-Smith Under 2.5 AST | Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
4,0.3392216982,10.0x,Herbert Jones Under 8.5 PTS | Jayson Tatum Over 1.5 AST | Keldon Johnson Under 0.5 AST | Victor Wembanyama Under 35.5 PR,PUSH/DOWNGRADE
5,0.2549286432,20.0x,Aaron Nesmith Under 13.5 PR | Herbert Jones Under 8.5 PTS | Jake LaRavia Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
5,0.2499702281999999,20.0x,Andrew Nembhard Under 21.5 PA | Herbert Jones Under 8.5 PTS | Jake LaRavia Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
5,0.249904116,20.0x,Andrew Nembhard Under 14.5 PTS | Herbert Jones Under 8.5 PTS | Jake LaRavia Under 8.5 PTS | Jarred Vanderbilt Under 0.5 AST | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
5,0.2493202130495999,20.0x,Aaron Nesmith Under 13.5 PR | Dorian Finney-Smith Under 2.5 AST | Herbert Jones Under 8.5 PTS | Jake LaRavia Under 8.5 PTS | Jayson Tatum Over 1.5 AST,PUSH/DOWNGRADE
