Legs,Joint Prob,Payout,Picks,Result
2,0.6279840000000001,3.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR,WIN
2,0.59274,3.0x,Caris LeVert Under 14.5 PR | Luguentz Dort Over 3.5 RA,LOSS
2,0.590337,3.0x,Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS,LOSS
2,0.58016,3.0x,Adem Bona Over 4.5 PA | Luguentz Dort Over 3.5 RA,LOSS
2,0.577808,3.0x,Adem Bona Over 4.5 PA | Julius Randle Under 23.5 PTS,LOSS
2,0.574317,3.0x,Caris LeVert Under 14.5 PR | Julius Randle Under 27.5 PA,LOSS
2,0.566307,3.0x,Caris LeVert Under 14.5 PR | Julius Randle Under 30.5 PR,LOSS
2,0.565506,3.0x,Caris LeVert Under 14.5 PR | Kel'el Ware Under 11.5 REB,WIN
2,0.563103,3.0x,Caris LeVert Under 14.5 PR | Julius Randle Under 35.5 PRA,LOSS
2,0.562128,3.0x,Adem Bona Over 4.5 PA | Julius Randle Under 27.5 PA,LOSS
3,0.4647081600000001,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Luguentz Dort Over 3.5 RA,LOSS
3,0.462824208,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS,LOSS
3,0.450264528,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 27.5 PA,LOSS
3,0.443984688,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 30.5 PR,LOSS
3,0.443356704,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Kel'el Ware Under 11.5 REB,WIN
3,0.441472752,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 35.5 PRA,LOSS
3,0.440216784,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Luguentz Dort Over 2.5 REB,LOSS
3,0.437704848,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Donte DiVincenzo Under 23.5 PRA,WIN
3,0.437704848,6.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Desmond Bane Over 14.5 PTS,WIN
3,0.43684938,6.0x,Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS | Luguentz Dort Over 3.5 RA,LOSS
4,0.34248991392,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS | Luguentz Dort Over 3.5 RA,LOSS
4,0.3340246896000001,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Jordan Goodwin Under 14.5 PA | Julius Randle Under 23.5 PTS,LOSS
4,0.33319575072,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 27.5 PA | Luguentz Dort Over 3.5 RA,LOSS
4,0.32854866912,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 30.5 PR | Luguentz Dort Over 3.5 RA,LOSS
4,0.32808396096,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Kel'el Ware Under 11.5 REB | Luguentz Dort Over 3.5 RA,LOSS
4,0.3269284704,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Jordan Goodwin Under 14.5 PA | Julius Randle Under 30.5 PR,LOSS
4,0.326753890848,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS | Kel'el Ware Under 11.5 REB,LOSS
4,0.32668983648,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 35.5 PRA | Luguentz Dort Over 3.5 RA,LOSS
4,0.324439769808,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS | Luguentz Dort Over 2.5 REB,LOSS
4,0.3241025424,10.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Jordan Goodwin Under 14.5 PA | Julius Randle Under 27.5 PA,LOSS
5,0.247178270304,20.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Jordan Goodwin Under 14.5 PA | Julius Randle Under 23.5 PTS | Luguentz Dort Over 3.5 RA,LOSS
5,0.241927068096,20.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Jordan Goodwin Under 14.5 PA | Julius Randle Under 30.5 PR | Luguentz Dort Over 3.5 RA,LOSS
5,0.24179787922752,20.0x,Adem Bona Over 4.5 PA | Caris LeVert Under 14.5 PR | Julius Randle Under 23.5 PTS | Kel'el Ware Under 11.5 REB | Luguentz Dort Over 3.5 RA,LOSS
