Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,EV%,Kelly,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
LaMelo Ball,CHA,WAS,AST,7.5,6.48,0.676,Under,29.03,0.0798,S Tier,2026-02-22,2026-02-22,7.0,WIN,1.0,0.5199999999999996,AST
RJ Barrett,TOR,MIL,PRA,27.5,23.9,0.673,Under,28.55,0.0785,S Tier,2026-02-22,2026-02-22,16.0,WIN,1.0,-7.899999999999999,PRA
Naji Marshall,DAL,IND,RA,10.5,8.56,0.667,Under,27.27,0.075,S Tier,2026-02-22,2026-02-22,4.0,WIN,1.0,-4.5600000000000005,RA
Isaiah Hartenstein,OKC,CLE,PTS,9.5,11.62,0.662,Over,26.3,0.0723,S Tier,2026-02-22,2026-02-22,13.0,WIN,1.0,1.3800000000000008,PTS
Jonas Valanciunas,DEN,GSW,AST,1.5,0.61,0.857,Under,63.54,0.0874,A Tier,2026-02-22,2026-02-22,2.0,LOSS,0.0,1.3900000000000001,AST
Tyus Jones,DAL,IND,REB,1.5,0.8,0.808,Under,54.22,0.0746,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-0.8,REB
Nikola Vucevic,BOS,LAL,AST,2.5,1.57,0.775,Under,47.99,0.066,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.57,AST
Joan Beringer,MIN,PHI,REB,5.5,4.19,0.754,Under,43.94,0.0604,A Tier,2026-02-22,2026-02-22,3.0,WIN,1.0,-1.1900000000000004,REB
Draymond Green,GS,DEN,AST,4.5,3.24,0.752,Under,43.51,0.0598,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,AST
Jaylen Brown,BOS,LAL,AST,4.5,3.15,0.748,Under,42.85,0.0589,A Tier,2026-02-22,2026-02-22,7.0,LOSS,0.0,3.85,AST
Tyrese Maxey,PHI,MIN,AST,6.5,4.74,0.74,Under,41.27,0.0567,A Tier,2026-02-22,2026-02-22,7.0,LOSS,0.0,2.26,AST
Anthony Edwards,MIN,PHI,AST,3.5,2.53,0.738,Under,40.92,0.0563,A Tier,2026-02-22,2026-02-22,3.0,WIN,1.0,0.4700000000000002,AST
Kristaps Porzingis,GS,DEN,AST,1.5,1.12,0.737,Under,40.64,0.0559,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,AST
Jared McCain,OKC,CLE,AST,2.5,1.79,0.734,Under,40.18,0.0552,A Tier,2026-02-22,2026-02-22,1.0,WIN,1.0,-0.79,AST
Jaylon Tyson,CLE,OKC,AST,1.5,1.3,0.726,Under,38.6,0.0531,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.3,AST
Jalen Johnson,ATL,BKN,AST,7.5,5.68,0.723,Under,38.01,0.0523,A Tier,2026-02-22,2026-02-22,4.0,WIN,1.0,-1.6799999999999997,AST
Brandon Ingram,TOR,MIL,AST,3.5,2.6,0.72,Under,37.49,0.0515,A Tier,2026-02-22,2026-02-22,6.0,LOSS,0.0,3.4,AST
Ayo Dosunmu,MIN,PHI,REB,3.5,2.74,0.718,Under,37.01,0.0509,A Tier,2026-02-22,2026-02-22,5.0,LOSS,0.0,2.26,REB
Aaron Wiggins,OKC,CLE,AST,2.5,1.89,0.713,Under,36.17,0.0497,A Tier,2026-02-22,2026-02-22,4.0,LOSS,0.0,2.1100000000000003,AST
Tim Hardaway Jr.,DEN,GSW,AST,1.5,1.1,0.712,Under,35.9,0.0494,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.1,AST
Kawhi Leonard,LAC,ORL,AST,4.5,3.53,0.71,Under,35.51,0.0488,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,AST
Jock Landale,ATL,BKN,AST,1.5,1.18,0.704,Under,34.46,0.0474,A Tier,2026-02-22,2026-02-22,1.0,WIN,1.0,-0.17999999999999994,AST
Collin Murray-Boyles,TOR,MIL,AST,2.5,1.93,0.696,Under,32.78,0.0451,A Tier,2026-02-22,2026-02-22,0.0,WIN,1.0,-1.93,AST
CJ McCollum,ATL,BKN,REB,3.5,2.81,0.691,Under,31.9,0.0439,A Tier,2026-02-22,2026-02-22,8.0,LOSS,0.0,5.1899999999999995,REB
Ryan Kalkbrenner,CHA,WAS,REB,7.5,6.18,0.688,Under,31.34,0.0431,A Tier,2026-02-22,2026-02-22,9.0,LOSS,0.0,2.8200000000000003,REB
Dyson Daniels,ATL,BKN,AST,5.5,4.54,0.686,Under,31.0,0.0426,A Tier,2026-02-22,2026-02-22,8.0,LOSS,0.0,3.46,AST
Brook Lopez,LAC,ORL,RA,8.5,6.58,0.685,Under,30.74,0.0423,A Tier,2026-02-22,2026-02-22,,Pending / Not Found,,,RA
