Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
VJ Edgecombe,PHI,BKN,PR,25.5,22.66,0.654,Under,0.298,40.0,A Tier,2026-03-14,2026-03-14,20.0,WIN,1.0,-2.66,PR
VJ Edgecombe,PHI,BKN,PRA,29.5,26.38,0.65,Under,0.285,40.0,A Tier,2026-03-14,2026-03-14,27.0,WIN,1.0,0.620000000000001,PRA
Cameron Johnson,DEN,LAL,RA,4.5,6.08,0.673,Over,0.244,40.0,A Tier,2026-03-14,2026-03-14,7.0,WIN,1.0,0.9199999999999999,RA
Bub Carrington,WSH,BOS,PR,10.5,12.62,0.648,Over,0.271,50.0,A Tier,2026-03-14,2026-03-14,5.0,LOSS,0.0,-7.619999999999999,PR
Sam Hauser,BOS,WAS,PRA,19.5,17.33,0.652,Under,0.283,40.0,A Tier,2026-03-14,2026-03-14,20.0,LOSS,0.0,2.6700000000000017,PRA
Giannis Antetokounmpo,MIL,ATL,PR,37.5,33.8,0.645,Under,0.134,100.0,A Tier,2026-03-14,2026-03-14,,Pending / Not Found,,,PR
Dylan Harper,SA,CHA,PRA,16.5,19.32,0.591,Over,0.349,50.0,B Tier,2026-03-14,2026-03-14,,Pending / Not Found,,,PRA
Luke Kennard,LAL,DEN,PR,10.5,12.23,0.589,Over,0.33,50.0,B Tier,2026-03-14,2026-03-14,4.0,LOSS,0.0,-8.23,PR
Tre Johnson,WSH,BOS,PA,12.5,14.5,0.6,Over,0.334,40.0,B Tier,2026-03-14,2026-03-14,9.0,LOSS,0.0,-5.5,PA
Tyler Herro,MIA,ORL,PTS,23.5,21.85,0.617,Under,0.258,50.0,B Tier,2026-03-14,2026-03-14,10.0,WIN,1.0,-11.850000000000001,PTS
Tre Johnson,WSH,BOS,PRA,15.5,17.87,0.589,Over,0.349,40.0,B Tier,2026-03-14,2026-03-14,10.0,LOSS,0.0,-7.870000000000001,PRA
Desmond Bane,ORL,MIA,PRA,31.5,30.59,0.58,Under,0.235,40.0,B Tier,2026-03-14,2026-03-14,29.0,WIN,1.0,-1.5899999999999999,PRA
Victor Wembanyama,SA,CHA,PA,27.5,26.23,0.596,Under,0.345,40.0,B Tier,2026-03-14,2026-03-14,40.0,LOSS,0.0,13.77,PA
VJ Edgecombe,PHI,BKN,PA,24.5,20.76,0.688,Under,0.325,40.0,B Tier,2026-03-14,2026-03-14,23.0,WIN,1.0,2.2399999999999984,PA
VJ Edgecombe,PHI,BKN,PTS,19.5,16.7,0.679,Under,0.342,40.0,B Tier,2026-03-14,2026-03-14,16.0,WIN,1.0,-0.6999999999999993,PTS
Aaron Gordon,DEN,LAL,PA,16.5,18.94,0.583,Over,0.31,60.0,B Tier,2026-03-14,2026-03-14,29.0,WIN,1.0,10.059999999999999,PA
Sam Hauser,BOS,WAS,RA,4.5,5.74,0.63,Over,0.31,90.0,B Tier,2026-03-14,2026-03-14,8.0,WIN,1.0,2.26,RA
Austin Reaves,LAL,DEN,PR,25.5,23.21,0.635,Under,0.317,70.0,B Tier,2026-03-14,2026-03-14,39.0,LOSS,0.0,15.79,PR
Tyler Herro,MIA,ORL,PR,28.5,27.14,0.598,Under,0.284,60.0,B Tier,2026-03-14,2026-03-14,16.0,WIN,1.0,-11.14,PR
Jalen Suggs,ORL,MIA,PRA,25.0,21.94,0.647,Under,0.335,60.0,B Tier,2026-03-14,2026-03-14,25.0,PUSH,0.0,3.0599999999999987,PRA
Moritz Wagner,ORL,MIA,PRA,13.5,12.76,0.598,Under,0.273,90.0,B Tier,2026-03-14,2026-03-14,11.0,WIN,1.0,-1.7599999999999998,PRA
Austin Reaves,LAL,DEN,PA,26.5,24.65,0.617,Under,0.316,70.0,B Tier,2026-03-14,2026-03-14,38.0,LOSS,0.0,13.350000000000001,PA
Moritz Wagner,ORL,MIA,PR,12.5,11.64,0.61,Under,0.275,100.0,B Tier,2026-03-14,2026-03-14,11.0,WIN,1.0,-0.6400000000000006,PR
Austin Reaves,LAL,DEN,PRA,30.5,28.65,0.609,Under,0.314,70.0,B Tier,2026-03-14,2026-03-14,45.0,LOSS,0.0,16.35,PRA
Austin Reaves,LAL,DEN,PTS,21.5,19.65,0.631,Under,0.311,70.0,B Tier,2026-03-14,2026-03-14,32.0,LOSS,0.0,12.350000000000001,PTS
VJ Edgecombe,PHI,BKN,RA,9.5,8.8,0.611,Under,0.246,70.0,B Tier,2026-03-14,2026-03-14,11.0,LOSS,0.0,2.1999999999999993,RA
Luke Kennard,LAL,DEN,PTS,7.5,9.15,0.639,Over,0.265,70.0,B Tier,2026-03-14,2026-03-14,3.0,LOSS,0.0,-6.15,PTS
Giannis Antetokounmpo,MIL,ATL,PA,33.5,30.77,0.629,Under,0.218,100.0,B Tier,2026-03-14,2026-03-14,,Pending / Not Found,,,PA
Alex Sarr,WSH,BOS,PRA,18.5,24.48,0.672,Over,0.334,60.0,B Tier,2026-03-14,2026-03-14,9.0,LOSS,0.0,-15.48,PRA
LaMelo Ball,CHA,SAS,RA,11.5,10.59,0.619,Under,0.246,70.0,B Tier,2026-03-14,2026-03-14,6.0,WIN,1.0,-4.59,RA
Giannis Antetokounmpo,MIL,ATL,PRA,43.5,39.95,0.63,Under,0.189,100.0,B Tier,2026-03-14,2026-03-14,,Pending / Not Found,,,PRA
Paolo Banchero,ORL,MIA,PRA,39.5,36.53,0.624,Under,0.139,40.0,B Tier,2026-03-14,2026-03-14,42.0,LOSS,0.0,5.469999999999999,PRA
