Legs,Joint Prob,Payout,Picks
2,0.54075,3.0x,Ayo Dosunmu Under 22.5 PA | Jaylen Brown Over 3.5 AST
2,0.5227499999999999,3.0x,Ayo Dosunmu Under 26.5 PRA | Jaylen Brown Over 3.5 AST
2,0.522,3.0x,Ayo Dosunmu Under 17.5 PTS | Jaylen Brown Over 3.5 AST
2,0.51191,3.0x,Ayo Dosunmu Under 22.5 PA | Derrick White Over 3.5 AST
2,0.5115000000000001,3.0x,Jaylen Brown Over 3.5 AST | OG Anunoby Under 21.5 PTS
2,0.5054209999999999,3.0x,Ayo Dosunmu Under 22.5 PA | Sam Hauser Under 14.5 PA
2,0.50475,3.0x,Dyson Daniels Over 9.5 RA | Jaylen Brown Over 3.5 AST
2,0.49725,3.0x,Ayo Dosunmu Under 21.5 PR | Jaylen Brown Over 3.5 AST
2,0.4948699999999999,3.0x,Ayo Dosunmu Under 26.5 PRA | Derrick White Over 3.5 AST
2,0.49415999999999993,3.0x,Ayo Dosunmu Under 17.5 PTS | Derrick White Over 3.5 AST
2,0.49275,3.0x,Christian Braun Under 25.5 PRA | Jaylen Brown Over 3.5 AST
2,0.4921,3.0x,Jaylen Brown Over 3.5 AST | Jaylen Wells Over 11.5 PA
2,0.491722,3.0x,Ayo Dosunmu Under 22.5 PA | OG Anunoby Under 21.5 PTS
2,0.48859699999999995,3.0x,Ayo Dosunmu Under 26.5 PRA | Sam Hauser Under 14.5 PA
2,0.48789599999999994,3.0x,Ayo Dosunmu Under 17.5 PTS | Sam Hauser Under 14.5 PA
2,0.48525,3.0x,Jamal Murray Under 6.5 AST | Jaylen Brown Over 3.5 AST
2,0.485233,3.0x,Ayo Dosunmu Under 22.5 PA | Dyson Daniels Over 9.5 RA
2,0.48450000000000004,3.0x,Amen Thompson Over 14.5 PTS | Jaylen Brown Over 3.5 AST
2,0.48422000000000004,3.0x,Derrick White Over 3.5 AST | OG Anunoby Under 21.5 PTS
2,0.48150000000000004,3.0x,Jaylen Brown Over 3.5 AST | Julius Randle Under 30.5 PR
